age,industry,title,annual_salary,bonus_salary,currency,country,state,city,overall_experience,field_experience,education,gender,fixed_country,exchange_rate,annual_salary_usd,bonus_salary_usd,total_salary_usd
25-34,Media & Digital,eComm Merchandiser,45000.0,2000.0,EUR,Ireland,,No city,8 - 10 years,5-7 years,Some college,Woman,ireland,1.03929,46768.05,2078.58,48846.630000000005
25-34,Education (Higher Education),Associate Director,102500.0,0.0,USD,USA,New Hampshire,Hanover,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,102500.0,0.0,102500.0
35-44,Education (Higher Education),Associate Registrar,100000.0,0.0,USD,United States,,Boulder,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,100000.0,0.0,0.0
25-34,Nonprofits,Program and Development Coordinator,51000.0,0.0,USD,United States,Kansas,Wichita,2 - 4 years,2 - 4 years,Master's degree,Woman,united states,1.0,51000.0,0.0,51000.0
18-24,Media & Digital,Associate Publicist,45000.0,0.0,USD,USA,New York,New York,2 - 4 years,1 year or less,College degree,Woman,united states,1.0,45000.0,0.0,0.0
35-44,Nonprofits,Director of Development and Communications,100000.0,0.0,USD,United States,California,"San Jose, CA",11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,100000.0,0.0,100000.0
25-34,Transport or Logistics,Fulfillment Supervisor,53000.0,0.0,USD,United States,Illinois,Suburban Chicago,2 - 4 years,2 - 4 years,College degree,Man,united states,1.0,53000.0,0.0,53000.0
25-34,Nonprofits,VP of Communication,95000.0,0.0,USD,USA,New York,New York,8 - 10 years,5-7 years,Master's degree,Woman,united states,1.0,95000.0,0.0,95000.0
45-54,"Accounting, Banking & Finance",Senior Manager,100962.0,0.0,CAD,Canada,,London,21 - 30 years,11 - 20 years,Some college,Woman,canada,0.750496,75771.577152,0.0,75771.577152
25-34,Engineering or Manufacturing,Parts Quality Engineer,82000.0,3000.0,USD,USA,Tennessee,Decherd,5-7 years,5-7 years,College degree,Woman,united states,1.0,82000.0,3000.0,85000.0
18-24,Media & Digital,Account manager,36000.0,0.0,GBP,UK,,London,2 - 4 years,2 - 4 years,College degree,Woman,united kingdom,1.19112,42880.32,0.0,42880.32
25-34,auto repair,office manager,56000.0,0.0,USD,united states of america,California,san rafael,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,56000.0,0.0,0.0
35-44,Recruitment or HR,HR Manager/Accounts Payable,53500.0,0.0,USD,US,Minnesota,Minneapolis,11 - 20 years,2 - 4 years,College degree,Woman,united states,1.0,53500.0,0.0,53500.0
25-34,Transport or Logistics,North American Service Quality Manager,91000.0,10920.0,USD,United States of America,Texas,Dallas,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,91000.0,10920.0,101920.0
25-34,Nonprofits,Sr. Document Control Specialist,51796.0,1848.0,USD,United States,Arizona,Phoenix,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,51796.0,1848.0,53644.0
25-34,Insurance,Service Representative II,40000.0,2675.0,USD,United States,Wisconsin,Franklin,8 - 10 years,2 - 4 years,College degree,Woman,united states,1.0,40000.0,2675.0,42675.0
35-44,Computing or Tech,Senior Product Manager,85000.0,10000.0,GBP,United Kingdom,,London,11 - 20 years,5-7 years,College degree,Woman,united kingdom,1.19112,101245.2,11911.199999999999,113156.4
25-34,"Accounting, Banking & Finance",Vice President Advisor Escalations,100000.0,15000.0,USD,United States,Illinois,Chicago,11 - 20 years,2 - 4 years,Some college,Woman,united states,1.0,100000.0,15000.0,115000.0
45-54,Education (Higher Education),admissions communications,50000.0,0.0,USD,United States,Georgia,atlanta,21 - 30 years,2 - 4 years,College degree,Woman,united states,1.0,50000.0,0.0,50000.0
25-34,Health care,Program Manager,120000.0,12000.0,USD,United States,California,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,120000.0,12000.0,132000.0
25-34,Business or Consulting,Senior Consultant,140400.0,10000.0,USD,United States,Indiana,Indianapolis,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,140400.0,10000.0,150400.0
25-34,Recruitment or HR,Technical Recruiter,80000.0,20000.0,USD,US,New York,NYC,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,80000.0,20000.0,100000.0
35-44,"Accounting, Banking & Finance",Client Admin Team Manager,62000.0,3000.0,GBP,Uk,,Croydon,21 - 30 years,11 - 20 years,High School,Woman,united kingdom,1.19112,73849.44,3573.3599999999997,77422.8
35-44,Insurance,account manager,46000.0,1000.0,USD,USA,Kentucky,Lexington,8 - 10 years,1 year or less,Some college,Woman,united states,1.0,46000.0,1000.0,47000.0
45-54,Health care,Executive Assistant,95000.0,14000.0,USD,United States,California,Sunnyvale,21 - 30 years,5-7 years,Master's degree,Woman,united states,1.0,95000.0,14000.0,109000.0
45-54,Property or Construction,Accounts Payable,55000.0,0.0,USD,United States,Pennsylvania,Greater Philadelphia area,31 - 40 years,2 - 4 years,College degree,Woman,united states,1.0,55000.0,0.0,55000.0
35-44,Health care,Client Relationship Manager ,32500.0,3000.0,GBP,United Kingdom ,,Glasgow ,8 - 10 years,5-7 years,High School,Woman,united kingdom,1.19112,38711.4,3573.3599999999997,42284.76
25-34,Agriculture or Forestry,Digital Product Manager,130000.0,18000.0,USD,Canada,,Remote,8 - 10 years,5-7 years,College degree,Man,canada,1.0,130000.0,18000.0,148000.0
25-34,Life Sciences,Lab Technician,50000.0,0.0,USD,U.S.,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,united states,1.0,50000.0,0.0,50000.0
25-34,Nonprofits,Associate (consultant),65000.0,0.0,USD,United States,Pennsylvania,Philadelphia suburbs ,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,65000.0,0.0,65000.0
25-34,Computing or Tech,Product Owner,103000.0,6000.0,USD,US,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,united states,1.0,103000.0,6000.0,109000.0
25-34,Law,Real Estate Law Clerk,54500.0,0.0,CAD,Canada,,"Ottawa, Ontario",8 - 10 years,8 - 10 years,College degree,Woman,canada,0.750496,40902.032,0.0,40902.032
25-34,Computing or Tech,Operations Engineer,81000.0,0.0,USD,United States of America,Texas,Austin,8 - 10 years,2 - 4 years,Master's degree,Woman,united states,1.0,81000.0,0.0,81000.0
55-64,pharma / medical device design and manufacturing,Sr. Director,188000.0,100000.0,USD,USA,California,Orange,41 years or more,31 - 40 years,Master's degree,Woman,united states,1.0,188000.0,100000.0,288000.0
45-54,Computing or Tech,Program Manager III,136000.0,0.0,USD,USA,Colorado,Denver Metro Area,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,136000.0,0.0,0.0
45-54,Education (Higher Education),professor,110000.0,10000.0,USD,usa,Illinois,chicago,11 - 20 years,11 - 20 years,PhD,Woman,united states,1.0,110000.0,10000.0,120000.0
25-34,Chemical Manufacturing,Sr. Quality Lab Technician,47902.0,12100.0,USD,US,South Carolina,Chester,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,47902.0,12100.0,60002.0
35-44,Sales,Go-To-Market Strategist,101000.0,10000.0,USD,USA,Michigan,Detroit,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,101000.0,10000.0,111000.0
35-44,Education (Higher Education),Department Manager,83200.0,0.0,USD,USA,Wisconsin,Madison,21 - 30 years,8 - 10 years,Some college,Woman,united states,1.0,83200.0,0.0,83200.0
25-34,Health care,Clinical Evaluation Manager,4400.0,0.0,GBP,UK,,Reading,11 - 20 years,8 - 10 years,Master's degree,Woman,united kingdom,1.19112,5240.928,0.0,5240.928
55-64,Editor in educational publishing,Editor,49000.0,0.0,USD,US,Illinois,Chicago,21 - 30 years,11 - 20 years,Some college,Woman,united states,1.0,49000.0,0.0,49000.0
35-44,Health care,Project Manager,200000.0,0.0,USD,USA,,Minneapolis,8 - 10 years,8 - 10 years,College degree,Man,united states,1.0,200000.0,0.0,0.0
35-44,Retail,Assistant Manager,29000.0,0.0,USD,United States,New York,"Plattsburgh, NY",5-7 years,2 - 4 years,College degree,Woman,united states,1.0,29000.0,0.0,29000.0
25-34,Retail,Brand Ambassador/Sales Associate,27289.0,0.0,USD,United States,Oregon,Tigard,5-7 years,5-7 years,High School,Woman,united states,1.0,27289.0,0.0,0.0
25-34,Government and Public Administration,Instructional Systems Designer,78000.0,3500.0,USD,USA,Maryland,Rockville,5-7 years,5-7 years,College degree,Woman,united states,1.0,78000.0,3500.0,81500.0
25-34,Computing or Tech,Software Engineer 2,97000.0,5000.0,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,97000.0,5000.0,102000.0
25-34,"Accounting, Banking & Finance",Staff Accountant,62500.0,1000.0,USD,United States,Massachusetts,Medford,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,62500.0,1000.0,63500.0
35-44,Government and Public Administration,Library Supervisor,72500.0,0.0,USD,US,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,72500.0,0.0,0.0
35-44,Nonprofits,Director of Special Events,107000.0,3000.0,USD,US,New York,New York,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,107000.0,3000.0,110000.0
35-44,Retail,Store Manager,32448.0,5000.0,USD,United States,Colorado,Center,21 - 30 years,5-7 years,College degree,Woman,united states,1.0,32448.0,5000.0,37448.0
45-54,Computing or Tech,OPerations Manager,93000.0,5000.0,USD,United States,South Carolina,Beaufort,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,93000.0,5000.0,98000.0
55-64,Education (Primary/Secondary),Middle School Principal,60000.0,1000.0,USD,USA,Colorado,Fort Collins,31 - 40 years,31 - 40 years,Master's degree,Woman,united states,1.0,60000.0,1000.0,61000.0
45-54,Education (Higher Education),Associate Director,75000.0,0.0,USD,US,Virginia,Manassas,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,75000.0,0.0,75000.0
25-34,Art & Design,Art Coordinator,31200.0,0.0,USD,United States,Michigan,Ann Arbor,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,31200.0,0.0,0.0
35-44,Business or Consulting,Administrative Assistant,48410.0,0.0,CAD,Canada,,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,canada,0.750496,36331.511360000004,0.0,0.0
25-34,Government and Public Administration,Higher executive officer,50000.0,0.0,EUR,Ireland ,,Dublin,8 - 10 years,2 - 4 years,College degree,Woman,ireland,1.03929,51964.5,0.0,0.0
35-44,Computing or Tech,Systems Analyst,74200.0,0.0,USD,United States,Kentucky,Louisville,11 - 20 years,8 - 10 years,Some college,Woman,united states,1.0,74200.0,0.0,74200.0
25-34,Government and Public Administration,Senior Program Analyst,122540.0,0.0,USD,USA,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,122540.0,0.0,0.0
35-44,Government and Public Administration,Librarian,60000.0,0.0,USD,United States,Florida,Tampa,11 - 20 years,11 - 20 years,Master's degree,Man,united states,1.0,60000.0,0.0,60000.0
45-54,Education (Higher Education),Program Manager for Graduate Career Services,59000.0,0.0,USD,United States,Colorado,Boulder,11 - 20 years,2 - 4 years,Master's degree,Woman,united states,1.0,59000.0,0.0,59000.0
45-54,Education (Higher Education),Manager,75603.0,0.0,USD,Canada,,Calgary,21 - 30 years,8 - 10 years,Master's degree,Woman,canada,1.0,75603.0,0.0,0.0
25-34,"Accounting, Banking & Finance",Senior investor relations analyst ,115000.0,5000.0,USD,United States ,Illinois,Chicago,8 - 10 years,2 - 4 years,Master's degree,Woman,united states,1.0,115000.0,5000.0,120000.0
25-34,Computing or Tech,Sr. Director of Marketing,175000.0,80000.0,USD,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,,Woman,united states,1.0,175000.0,80000.0,255000.0
55-64,Health care,Physician,180000.0,40000.0,USD,US,Pennsylvania,Allentown,31 - 40 years,31 - 40 years,PhD,Woman,united states,1.0,180000.0,40000.0,220000.0
25-34,Computing or Tech,Senior Program Manager,150000.0,5000.0,USD,United States,California,San Francisco,5-7 years,5-7 years,College degree,Woman,united states,1.0,150000.0,5000.0,155000.0
35-44,Government and Public Administration,Environmental Scientist,68000.0,0.0,USD,US,New Mexico,Albuquerque,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,68000.0,0.0,68000.0
25-34,Nonprofits,Accounts Manager,48925.0,100.0,USD,USA,Rhode Island,Providence,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,48925.0,100.0,49025.0
35-44,Transport or Logistics,Training Coordinator ,58195.0,5000.0,USD,USA,New Hampshire,Manchester ,11 - 20 years,5-7 years,College degree,Woman,united states,1.0,58195.0,5000.0,63195.0
35-44,Property or Construction,Controller,118360.0,5000.0,USD,United States,Florida,Orlando,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,118360.0,5000.0,123360.0
18-24,Health care,Receptionist,52000.0,0.0,USD,USA,Massachusetts,Boston,2 - 4 years,1 year or less,College degree,Woman,united states,1.0,52000.0,0.0,0.0
25-34,Nonprofits,Evaluation Lead,57000.0,0.0,CAD,Canada,,Toronto,2 - 4 years,1 year or less,PhD,Woman,canada,0.750496,42778.272000000004,0.0,42778.272000000004
25-34,trade association/membership,member engagement associate,65100.0,2000.0,USD,USA,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,65100.0,2000.0,67100.0
25-34,Media & Digital,Social Media Editor,75000.0,0.0,USD,United States,New York,New York,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,75000.0,0.0,75000.0
25-34,Engineering or Manufacturing,Flight Operations Engineer,88400.0,0.0,USD,United States,Maryland,Greenbelt,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,88400.0,0.0,0.0
45-54,Business or Consulting,Department Specialist,48000.0,0.0,USD,USA,Minnesota,Minnespolis,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,48000.0,0.0,0.0
45-54,Art & Design,graphic design,46300.0,0.0,USD,USA,Nevada,las vegas,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,46300.0,0.0,0.0
45-54,Education (Higher Education),Contract Manager,105000.0,3150.0,USD,United States,New Jersey,Princeton,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,105000.0,3150.0,108150.0
35-44,Insurance,Claims Administration Manager,78998.0,0.0,USD,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,78998.0,0.0,0.0
45-54,Nonprofits,Engagement & Operations Manager,60000.0,2000.0,USD,USA,Delaware,Wilmington,21 - 30 years,5-7 years,Some college,Woman,united states,1.0,60000.0,2000.0,62000.0
35-44,"Accounting, Banking & Finance",Lending Officer,96000.0,19200.0,USD,US,Minnesota,Minneapolis ,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,96000.0,19200.0,115200.0
35-44,Health care,Psychiatric Nurse Practitioner,140000.0,0.0,USD,USA,Maryland,Baltimore,8 - 10 years,2 - 4 years,Master's degree,Woman,united states,1.0,140000.0,0.0,0.0
55-64,Education (Higher Education),Laboratory Manager,50000.0,0.0,USD,USA,Virginia,Roanoke,21 - 30 years,21 - 30 years,Master's degree,Woman,united states,1.0,50000.0,0.0,50000.0
35-44,Education (Higher Education),Senior research assistant,110000.0,0.0,CHF,Switzerland,,Zurich,8 - 10 years,8 - 10 years,PhD,Woman,switzerland,1.05838,116421.80000000002,0.0,116421.80000000002
35-44,"Accounting, Banking & Finance",Benefits Specialist,58344.0,0.0,USD,USA,New York,Poughkeepsie,11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,58344.0,0.0,58344.0
25-34,Education (Higher Education),Learning and Retention Specialist,50000.0,0.0,USD,USA,Illinois,Greater Chicago ,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,50000.0,0.0,50000.0
35-44,Government and Public Administration,Senior Project Manager,120000.0,0.0,USD,US,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,120000.0,0.0,120000.0
25-34,Education (Primary/Secondary),Private tutor and nanny,70000.0,0.0,USD,USA,,Portland,8 - 10 years,2 - 4 years,Some college,Woman,united states,1.0,70000.0,0.0,0.0
25-34,Computing or Tech,Product Manager,70000.0,5000.0,USD,United States,New York,Brooklyn,5-7 years,2 - 4 years,College degree,Woman,united states,1.0,70000.0,5000.0,75000.0
18-24,Food service,Cashier/back-end food prep,18720.0,0.0,USD,US,Florida,Tallahassee,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,18720.0,0.0,0.0
45-54,Transport or Logistics,IT Manager,90000.0,7500.0,USD,United States,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree,Man,united states,1.0,90000.0,7500.0,97500.0
25-34,Government and Public Administration,Analyst,87000.0,0.0,USD,United States,,"Washington, District of Columbia ",5-7 years,5-7 years,Master's degree,Woman,united states,1.0,87000.0,0.0,0.0
25-34,Education (Primary/Secondary),HR Generalist,64000.0,6000.0,USD,US,New York,Albany-Schenectady-Troy Metro Area,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,64000.0,6000.0,70000.0
35-44,Government and Public Administration,Foreign Affairs Officer,114059.0,0.0,USD,USA,District of Columbia,Washington ,8 - 10 years,5-7 years,Master's degree,Woman,united states,1.0,114059.0,0.0,0.0
35-44,Computing or Tech,Client Success Manager,95000.0,0.0,USD,United States,Illinois,Chicago,11 - 20 years,2 - 4 years,College degree,Woman,united states,1.0,95000.0,0.0,0.0
25-34,Education (Primary/Secondary),Teacher,67000.0,0.0,USD,United States,Georgia,Northwest Georgia,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,67000.0,0.0,0.0
35-44,Nonprofits,Director of Coroprate Relations,69000.0,0.0,USD,USA,District of Columbia,Washington,11 - 20 years,8 - 10 years,Master's degree,Woman,united states,1.0,69000.0,0.0,69000.0
25-34,Social Work,Elementary school social worker ,55000.0,5000.0,USD,United States,Texas,Austin,2 - 4 years,2 - 4 years,Master's degree,Woman,united states,1.0,55000.0,5000.0,60000.0
35-44,Computing or Tech,Business Analyst III,75000.0,1000.0,USD,United States,Florida,Jacksonville,11 - 20 years,2 - 4 years,Master's degree,Woman,united states,1.0,75000.0,1000.0,76000.0
45-54,"Marketing, Advertising & PR",Copy Editor & Writer,77230.0,0.0,USD,U.S.,Texas,Dallas,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,77230.0,0.0,77230.0
25-34,Education (Primary/Secondary),Speech-Language Pathologist,44000.0,0.0,USD,United States of America,New Hampshire,Plymouth,2 - 4 years,1 year or less,Master's degree,Woman,united states,1.0,44000.0,0.0,0.0
25-34,Public Library,Library Director,55000.0,0.0,USD,United States,Pennsylvania,Pittsburgh,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,55000.0,0.0,0.0
45-54,Law,Supervisor,65000.0,2700.0,USD,United States,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,College degree,Woman,united states,1.0,65000.0,2700.0,67700.0
35-44,Science,Senior Chemist,65364.0,0.0,USD,USA,Tennessee,Memphis,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,65364.0,0.0,65364.0
25-34,Learning & Development,Content Development Manager,68000.0,0.0,USD,U.S.,Illinois,Evanston,8 - 10 years,8 - 10 years,PhD,Woman,united states,1.0,68000.0,0.0,68000.0
25-34,Nonprofits,Development Director,108000.0,0.0,USD,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,108000.0,0.0,108000.0
55-64,Training,Instructional Systems Designer,88700.0,7500.0,CAD,Canada,,Montreal,31 - 40 years,21 - 30 years,College degree,Man,canada,0.750496,66568.9952,5628.72,72197.7152
35-44,Transport or Logistics,Systems Analyst,68000.0,0.0,USD,United States,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,68000.0,0.0,0.0
35-44,Engineering or Manufacturing,Manufacturing Planner,70000.0,6000.0,CAD,Canada,,Northern B.C.,11 - 20 years,2 - 4 years,Some college,Woman,canada,0.750496,52534.72,4502.976000000001,57037.696
25-34,Education (Higher Education),Research Development Coordinator,45000.0,0.0,USD,United States,Tennessee,Knoxville,5-7 years,2 - 4 years,Master's degree,Woman,united states,1.0,45000.0,0.0,0.0
25-34,Media & Digital,Associate Editor,72000.0,0.0,USD,US,New York,NYC,5-7 years,5-7 years,PhD,Woman,united states,1.0,72000.0,0.0,72000.0
25-34,"Marketing, Advertising & PR",Digital Marketing Coordinator,45000.0,2000.0,USD,United States,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,united states,1.0,45000.0,2000.0,47000.0
55-64,"Accounting, Banking & Finance",Finance Analyst,40000.0,0.0,USD,USA,Oregon,Prefer not to answer,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,40000.0,0.0,40000.0
25-34,Education (Higher Education),Senior Program Officer,67500.0,0.0,USD,USA,,District of Columbia ,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,67500.0,0.0,67500.0
45-54,Entertainment,Consultant ,140000.0,0.0,USD,United States ,California,Los Angeles ,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,140000.0,0.0,0.0
25-34,Engineering or Manufacturing,Shipping and Warehouse Operations Manager,102000.0,0.0,USD,USA,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,102000.0,0.0,0.0
55-64,Sales,Sales Incentive Analyst,70000.0,0.0,USD,US,Illinois,Northfield,21 - 30 years,11 - 20 years,College degree,Woman,united states,1.0,70000.0,0.0,70000.0
25-34,FMCG,Global digital and social media HR manager ,75000.0,0.0,EUR,Netherlands ,,Amsterdam ,8 - 10 years,2 - 4 years,Master's degree,Woman,netherland,1.03929,77946.75,0.0,0.0
25-34,Computing or Tech,Human Resources Director,90000.0,0.0,USD,USA,Texas,Plano,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,90000.0,0.0,90000.0
25-34,Nonprofits,Nonprofit Program Manager,72000.0,0.0,USD,USA,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,72000.0,0.0,72000.0
45-54,Computing or Tech,Software Developer,105000.0,2000.0,USD,United States,North Carolina,Cary,11 - 20 years,11 - 20 years,College degree,Woman,united states,1.0,105000.0,2000.0,107000.0
45-54,Recruitment or HR,Director of Human Resources,118000.0,1700.0,USD,United States,New York,New York City,31 - 40 years,31 - 40 years,College degree,Woman,united states,1.0,118000.0,1700.0,119700.0
25-34,Health care,Associate research scientist,74100.0,0.0,USD,USA ,Maryland,Gaithersburg ,8 - 10 years,8 - 10 years,College degree,Woman,united states,1.0,74100.0,0.0,74100.0
45-54,Engineering or Manufacturing,Process Developer,84000.0,2500.0,USD,U.S.,Colorado,Colorado Springs,21 - 30 years,21 - 30 years,College degree,Woman,united states,1.0,84000.0,2500.0,86500.0
45-54,Computing or Tech,Product Group Lead,155000.0,140000.0,USD,USA,Michigan,none,21 - 30 years,21 - 30 years,Some college,Woman,united states,1.0,155000.0,140000.0,295000.0
25-34,Property or Construction,Software Developer,100000.0,20000.0,USD,United States,Illinois,Chicago,5-7 years,1 year or less,College degree,Woman,united states,1.0,100000.0,20000.0,120000.0
35-44,Education (Higher Education),Technology Support Technician,53000.0,0.0,USD,United States,North Carolina,Raleigh,8 - 10 years,5-7 years,College degree,Woman,united states,1.0,53000.0,0.0,0.0
25-34,Recruitment or HR,FMLA Account Representative ,44750.0,500.0,USD,US,Illinois,Chicago ,2 - 4 years,2 - 4 years,Master's degree,Woman,united states,1.0,44750.0,500.0,45250.0
35-44,"Accounting, Banking & Finance",Client manager,36000.0,0.0,GBP,Uk,,London,8 - 10 years,2 - 4 years,College degree,Man,united kingdom,1.19112,42880.32,0.0,0.0
35-44,Property or Construction,Buyer,38251.0,0.0,USD,U.S.,New York,Syracuse,11 - 20 years,2 - 4 years,Some college,Woman,united states,1.0,38251.0,0.0,0.0
35-44,Government and Public Administration,Communications Officer,77000.0,0.0,CAD,Canada,,Vancouver,8 - 10 years,5-7 years,Master's degree,Woman,canada,0.750496,57788.192,0.0,0.0
25-34,Education (Higher Education),Program Assistant,44000.0,3500.0,CAD,Canada,,"Vancouver, BC",2 - 4 years,2 - 4 years,Master's degree,Woman,canada,0.750496,33021.824,2626.7360000000003,35648.560000000005
35-44,"Marketing, Advertising & PR",Marketing Coordinator,60000.0,0.0,CAD,Canada,,Montreal,11 - 20 years,5-7 years,Some college,Woman,canada,0.750496,45029.76,0.0,0.0
55-64,Law,Patent attorney ,171912.0,2000.0,USD,United States ,Virginia,Arlington ,31 - 40 years,21 - 30 years,PhD,Woman,united states,1.0,171912.0,2000.0,173912.0
35-44,"Accounting, Banking & Finance",Accountant,69000.0,5000.0,USD,USA,Oregon,Portland,21 - 30 years,2 - 4 years,Master's degree,Woman,united states,1.0,69000.0,5000.0,74000.0
25-34,Education (Higher Education),Academic Advisor,42000.0,0.0,USD,United States,Utah,Salt Lake City,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,42000.0,0.0,0.0
35-44,Law,attorney,72000.0,12500.0,USD,United States,Massachusetts,Newton,8 - 10 years,8 - 10 years,,Woman,united states,1.0,72000.0,12500.0,84500.0
25-34,Manufacturing,Marketing Manager,80000.0,4000.0,CAD,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,canada,0.750496,60039.68000000001,3001.9840000000004,63041.664000000004
25-34,"Marketing, Advertising & PR",Marketing Strategist,62500.0,2600.0,USD,United States,Tennessee,Memphis,5-7 years,5-7 years,Master's degree,Woman,united states,1.0,62500.0,2600.0,65100.0
25-34,Engineering or Manufacturing,Manufacturing Engineer,75000.0,0.0,USD,USA,Tennessee,La Vergne,2 - 4 years,2 - 4 years,College degree,Woman,united states,1.0,75000.0,0.0,75000.0
25-34,Computing or Tech,"Manager, Solutions Engineering",185000.0,30000.0,USD,United States,Washington,Seattle ,8 - 10 years,8 - 10 years,Master's degree,Woman,united states,1.0,185000.0,30000.0,215000.0
35-44,Education (Higher Education),Academic Advisor,40000.0,0.0,USD,U.S.,Nebraska,Lincoln,11 - 20 years,2 - 4 years,Master's degree,Woman,united states,1.0,40000.0,0.0,40000.0
25-34,Computing or Tech,Business Analyst,72450.0,2000.0,USD,United States,Minnesota,Minneapolis,11 - 20 years,2 - 4 years,Master's degree,Woman,united states,1.0,72450.0,2000.0,74450.0
35-44,Law,Assistant Marketing Director,65000.0,3000.0,USD,United States,Kansas,Witchita,11 - 20 years,5-7 years,Master's degree,Woman,united states,1.0,65000.0,3000.0,68000.0
35-44,Law,Paralegal,41000.0,0.0,GBP,United Kingdom,,Manchester,11 - 20 years,11 - 20 years,College degree,Woman,united kingdom,1.19112,48835.92,0.0,48835.92
35-44,Government and Public Administration,Records Management Analyst,71000.0,0.0,USD,USA,Virginia,"Washington, DC",11 - 20 years,5-7 years,College degree,Man,united states,1.0,71000.0,0.0,71000.0
45-54,manufacturing,CFO,88400.0,2000.0,USD,US,Virginia,semirural city,31 - 40 years,8 - 10 years,Master's degree,Woman,united states,1.0,88400.0,2000.0,90400.0
25-34,Social Work,Crisis Clinician ,51000.0,0.0,USD,USA,Vermont,Burlington ,5-7 years,2 - 4 years,Master's degree,Woman,united states,1.0,51000.0,0.0,51000.0
45-54,Media & Digital,Journalist,45000.0,0.0,GBP,United Kingdom,,London,21 - 30 years,21 - 30 years,Master's degree,Woman,united kingdom,1.19112,53600.4,0.0,0.0
18-24,Recruitment or HR,Recruitment Consultant,30000.0,20000.0,GBP,United Kingdom,,London,2 - 4 years,2 - 4 years,College degree,Woman,united kingdom,1.19112,35733.6,23822.399999999998,59556.0
35-44,Museum - Nonprofit,Exhibitions Manager and Registrar,65000.0,200.0,USD,United States,Missouri,Kansas City,11 - 20 years,11 - 20 years,Master's degree,Woman,united states,1.0,65000.0,200.0,65200.0
